model,rmse,mae,qlike,n,ticker
ridge,0.019725123679467785,0.01256612006262848,-5.618047654601294,2772,CAG
rf,0.019596541687428186,0.012425316168662498,-5.626216082484711,2772,CAG
baseline,0.021021255009397853,0.015759185987608445,-5.263604766679316,2772,CAT
har,0.01973247196578648,0.014141643197698882,-5.293636022466635,2772,CAT
ridge,0.01933208963147013,0.013785877346235391,-5.3091639272004105,2772,CAT
rf,0.01941566176556937,0.013863226154660117,-5.318759218271461,2772,CAT
baseline,0.016765695010033704,0.011522812685915583,-6.018922339721413,2772,CB
har,0.01607766491851439,0.011231948894116033,-6.109519269573396,2772,CB
ridge,0.015893662496426684,0.010950750120306151,-6.120508520339344,2772,CB
rf,0.016017989293377017,0.010934587767261514,-6.112229477915646,2772,CB
baseline,0.04236410200455153,0.02507002803362399,-4.625489340020642,2772,CCL
har,0.04101595823713511,0.022432124709544053,-4.461749046904097,2772,CCL
ridge,0.039290414228092575,0.021622932622968803,-4.526104849407666,2772,CCL
rf,0.045373977291344014,0.023001429901897852,-4.330569235450063,2772,CCL
baseline,0.023930550801661357,0.017320259165229876,-5.153475710944691,2772,CDNS
har,0.022054813216539387,0.015027050534644135,-5.193670342276885,2772,CDNS
ridge,0.021766826579093713,0.014911636914160633,-5.199759893508205,2772,CDNS
rf,0.022185475989967438,0.015022865377771602,-5.197269883226762,2772,CDNS
baseline,0.01678456537609636,0.011879745336333278,-5.946213070730218,2772,CHD
har,0.01540868925853638,0.011095222469695689,-6.081815806160448,2772,CHD
ridge,0.015027437885514056,0.01082016575922067,-6.107566208946027,2772,CHD
rf,0.015001361260826981,0.010818875614980822,-6.1092568550940465,2772,CHD
baseline,0.02529384119893956,0.017059680132168988,-5.3191470394656495,2772,CI
har,0.022956038601905766,0.01479273866892977,-5.323388157675919,2772,CI
ridge,0.022761452592327935,0.014680945136754595,-5.328994321566527,2772,CI
rf,0.022753257913429976,0.014500847268168405,-5.34717727879701,2772,CI
baseline,0.014698075255574136,0.010153677866747023,-6.181153700653887,2772,CL
har,0.013798238345271057,0.010144063037923643,-6.333810313284795,2772,CL
ridge,0.01343540207308026,0.009699673871392563,-6.3544444155367055,2772,CL
rf,0.013307669038145587,0.009605859050788375,-6.354667841744926,2772,CL
baseline,0.019328058569210035,0.01329481449882361,-5.763533934861526,2772,CLX
har,0.017557643093620734,0.011923361199485588,-5.901414337559474,2772,CLX
ridge,0.016988169902287895,0.011617062819475827,-5.938564007990456,2772,CLX
rf,0.016963775817115712,0.011547981961055723,-5.9224498603463624,2772,CLX
baseline,0.0190971074777338,0.01365467455031525,-5.596805732702986,2772,CMCSA
har,0.017516547849110494,0.012271375170080588,-5.711081035678935,2772,CMCSA
ridge,0.017311462859232164,0.012138608571854266,-5.719726503459855,2772,CMCSA
rf,0.017347919016628768,0.012021263933347515,-5.715242680371829,2772,CMCSA
baseline,0.030542936372419883,0.021226693833143417,-4.874047431005781,2772,CMG
har,0.027411656445697513,0.017606250310967925,-4.84561447843134,2772,CMG
ridge,0.026553724804197595,0.016946039801085895,-4.907609097480503,2772,CMG
rf,0.026411458400673216,0.016709746022391565,-4.951194413801443,2772,CMG
baseline,0.019513690371472058,0.011409347148588383,-5.962681426068781,2772,CNP
har,0.018398201421750634,0.010787159800333583,-5.99798971552473,2772,CNP
ridge,0.018064520877146224,0.010662109572677322,-6.0240003536406554,2772,CNP
rf,0.01945092856426609,0.010880469168861723,-5.992203325338224,2772,CNP
baseline,0.026786790324827083,0.017446673350214013,-5.069840566384848,2772,COF
har,0.025310547288268526,0.015409421907326488,-5.095237372950168,2772,COF
ridge,0.0250632520702318,0.01514443424201943,-5.103625320072527,2772,COF
rf,0.026551270878493474,0.015667355898238124,-5.0659350761803275,2772,COF
baseline,0.0262152547157791,0.016958802093297594,-5.071600686050757,2772,COP
har,0.025162353326050872,0.015397954736357869,-4.972733044026852,2772,COP
ridge,0.02454902443594397,0.01509590443200054,-4.998265179754934,2772,COP
rf,0.026165598072274067,0.01547629983267809,-5.0004193770005765,2772,COP
baseline,0.016234416904674517,0.011523941866108197,-5.918612787525151,2772,COST
har,0.015334215602300298,0.01104087068863422,-6.058200779996547,2772,COST
ridge,0.014973571332153482,0.010669045838115097,-6.074416101614355,2772,COST
rf,0.01469621678187772,0.010460515660475431,-6.086004949420112,2772,COST
baseline,0.020551341129512526,0.014576847680105006,-5.48744736112399,2772,CPB
har,0.018287432267697544,0.01254948658445331,-5.6843970504124055,2772,CPB
ridge,0.017844245297297383,0.012357445670493291,-5.738673650679265,2772,CPB
rf,0.017999367395985517,0.012383457467511245,-5.712656736649268,2772,CPB
baseline,0.028105923635275566,0.018455035684540246,-4.946919880078705,2772,CRM
har,0.025750552009940454,0.01620163979533693,-4.968657951835496,2772,CRM
ridge,0.025069859319215078,0.015699487999596008,-5.026275311190815,2772,CRM
rf,0.025162346492916602,0.015736744034152466,-5.020349534542487,2772,CRM
baseline,0.021549393239129418,0.014603010917747787,-5.610076078208759,2772,CSCO
har,0.019576163098471294,0.013138925185031645,-5.768249653260132,2772,CSCO
ridge,0.01891655858213857,0.012528856080763658,-5.793615780624695,2772,CSCO
rf,0.018706264784152094,0.012345819102007995,-5.8061676717383905,2772,CSCO
baseline,0.0225003922509686,0.014012831518035632,-5.412295567612504,2772,CSX
har,0.019988675878926398,0.012455116106505565,-5.491709261791364,2772,CSX
ridge,0.0197004017765001,0.012207142472246435,-5.509348968262263,2772,CSX
rf,0.019937077632403502,0.012076573701701773,-5.512246223719091,2772,CSX
baseline,0.023425731830549943,0.01601171278034502,-5.39955443508058,2772,CVS
har,0.02145193726804539,0.014069063425137035,-5.437341098915038,2772,CVS
ridge,0.021376693324256367,0.014021566645317616,-5.441253405703198,2772,CVS
rf,0.021060041213086758,0.013749861936025363,-5.435098746889385,2772,CVS
baseline,0.022273236840149896,0.013661085953192053,-5.64278830782361,2772,CVX
har,0.020259807922290745,0.012145396394548775,-5.683225221644965,2772,CVX
ridge,0.01987995463297458,0.011688044696646761,-5.698382818024303,2772,CVX
rf,0.021249655455175806,0.011969587404075407,-5.668852589582762,2772,CVX
